股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
601377,兴业证券,5.9,87,中性,该股进入多头行情中，股价短线上涨概率较大。,回落整理中且下跌有加速趋势。,已有69家主力机构披露2026-06-30报告期持股数据，持仓量总计39.81亿股，占流通A股46.10%,6.1,4.5,6,7.2,6.0
601728,中国电信,5.9,88,中性,前期的强势行情已经结束，投资者及时卖出股票为为宜。,正处于反弹阶段。,已有54家主力机构披露2026-06-30报告期持股数据，持仓量总计702.12亿股，占流通A股90.44%,6.6,5.5,7.7,1.6,6.1
300308,中际旭创,5.8,83,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,下跌有所减缓，仍应保持谨慎。,长期看好，有良好的投资价值。,3.9,5.0,6.7,7.0,7.8
600050,中国联通,5.8,84,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有38家主力机构披露2026-06-30报告期持股数据，持仓量总计208.79亿股，占流通A股67.37%,6.1,5.3,5.5,5.1,6.3
600346,恒力石化,5.8,84,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速下跌的趋势。,已有63家主力机构披露2026-06-30报告期持股数据，持仓量总计47.84亿股，占流通A股67.96%,4.2,5.4,6.3,7.8,7.0
600741,华域汽车,5.8,84,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有18家主力机构披露2026-06-30报告期持股数据，持仓量总计2434.76万股，占流通A股0.77%,4.8,6.3,5.5,5.5,6.8
600760,中航沈飞,5.8,84,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有59家主力机构披露2026-06-30报告期持股数据，持仓量总计8102.82万股，占流通A股2.87%,7.4,6.5,2.5,5.2,5.7
601186,中国铁建,5.8,84,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有14家主力机构披露2026-06-30报告期持股数据，持仓量总计1944.82万股，占流通A股0.17%,6.2,5.0,5.5,7.2,5.7
601668,中国建筑,5.8,84,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有99家主力机构披露2026-06-30报告期持股数据，持仓量总计6.31亿股，占流通A股1.53%,5.0,5.4,5.5,7.2,6.6
601788,光大证券,5.8,84,中性,该股进入多头行情中，股价短线上涨概率较大。,上涨趋势有所减缓，可适量高抛低吸。,已有12家主力机构披露2026-06-30报告期持股数据，持仓量总计23.22亿股，占流通A股59.44%,6.8,2.8,6,7.2,6.2
601857,中国石油,5.8,84,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有151家主力机构披露2026-06-30报告期持股数据，持仓量总计5.55亿股，占流通A股0.34%,6.2,3.8,5.5,6.8,6.8
688009,中国通号（688009）,5.8,85,中性,该股进入多头行情中，股价短线上涨概率较大。,正处于反弹阶段。,已有22家主力机构披露2026-06-30报告期持股数据，持仓量总计69.98亿股，占流通A股81.17%,7.1,6.0,6.1,0.0,6.3
000807,云铝股份,5.7,78,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有51家主力机构披露2026-06-30报告期持股数据，持仓量总计6882.84万股，占流通A股1.98%,4.6,3.1,8.4,7.3,6.8
002384,东山精密,5.7,79,中性,该股进入多头行情中，股价短线上涨概率较大。,回落整理中且下跌有加速趋势。,已有925家主力机构披露2026-06-30报告期持股数据，持仓量总计3.77亿股，占流通A股27.19%,5.0,4.5,6.6,3.5,7.9
